time,local_date,sensor_id,pm10,pm25,no2,latitude,longitude
10,2023-10-25T10:00:00,4861,-1,-1,42.5,51.2642897846451,4.34127999246466
14,2023-10-25T14:00:00,4861,-1,-1,30.0,51.2642897846451,4.34127999246466
18,2023-10-25T18:00:00,4861,-1,-1,36.5,51.2642897846451,4.34127999246466
10,2023-10-26T10:00:00,4861,-1,-1,50.5,51.2642897846451,4.34127999246466
14,2023-10-26T14:00:00,4861,-1,-1,41.0,51.2642897846451,4.34127999246466
18,2023-10-26T18:00:00,4861,-1,-1,35.5,51.2642897846451,4.34127999246466
10,2023-10-27T10:00:00,4861,-1,-1,20.5,51.2642897846451,4.34127999246466
14,2023-10-27T14:00:00,4861,-1,-1,19.5,51.2642897846451,4.34127999246466
18,2023-10-27T18:00:00,4861,-1,-1,19.5,51.2642897846451,4.34127999246466
10,2023-10-28T10:00:00,4861,-1,-1,14.0,51.2642897846451,4.34127999246466
14,2023-10-28T14:00:00,4861,-1,-1,7.5,51.2642897846451,4.34127999246466
18,2023-10-28T18:00:00,4861,-1,-1,6.5,51.2642897846451,4.34127999246466
9,2023-10-29T09:00:00,4861,-1,-1,8.5,51.2642897846451,4.34127999246466
13,2023-10-29T13:00:00,4861,-1,-1,10.5,51.2642897846451,4.34127999246466
17,2023-10-29T17:00:00,4861,-1,-1,11.0,51.2642897846451,4.34127999246466
9,2023-10-30T09:00:00,4861,-1,-1,20.0,51.2642897846451,4.34127999246466
13,2023-10-30T13:00:00,4861,-1,-1,30.5,51.2642897846451,4.34127999246466
17,2023-10-30T17:00:00,4861,-1,-1,43.0,51.2642897846451,4.34127999246466
9,2023-10-31T09:00:00,4861,-1,-1,16.5,51.2642897846451,4.34127999246466
13,2023-10-31T13:00:00,4861,-1,-1,10.0,51.2642897846451,4.34127999246466
17,2023-10-31T17:00:00,4861,-1,-1,13.5,51.2642897846451,4.34127999246466
10,2023-10-02T10:00:00,4926,35.4,14.57,14.0,51.01628,2.582323
14,2023-10-02T14:00:00,4926,18.9,11.28,7.5,51.01628,2.582323
10,2023-10-03T10:00:00,4926,8.4,3.76,5.5,51.01628,2.582323
14,2023-10-03T14:00:00,4926,6.4,1.88,5.5,51.01628,2.582323
18,2023-10-03T18:00:00,4926,9.9,3.76,4.5,51.01628,2.582323
10,2023-10-04T10:00:00,4926,14.4,6.58,7.5,51.01628,2.582323
14,2023-10-04T14:00:00,4926,16.9,6.58,8.0,51.01628,2.582323
18,2023-10-04T18:00:00,4926,10.9,4.23,2.0,51.01628,2.582323
10,2023-10-05T10:00:00,4926,10.9,5.64,12.5,51.01628,2.582323
14,2023-10-05T14:00:00,4926,13.4,4.7,7.5,51.01628,2.582323
18,2023-10-05T18:00:00,4926,10.4,4.23,-1.0,51.01628,2.582323
10,2023-10-06T10:00:00,4926,12.9,6.58,6.0,51.01628,2.582323
14,2023-10-06T14:00:00,4926,18.4,8.93,6.5,51.01628,2.582323
18,2023-10-06T18:00:00,4926,14.4,5.64,2.0,51.01628,2.582323
10,2023-10-07T10:00:00,4926,15.4,8.46,7.0,51.01628,2.582323
14,2023-10-07T14:00:00,4926,13.9,6.58,7.5,51.01628,2.582323
18,2023-10-07T18:00:00,4926,14.4,6.58,2.0,51.01628,2.582323
10,2023-10-08T10:00:00,4926,16.4,7.99,16.5,51.01628,2.582323
14,2023-10-08T14:00:00,4926,17.9,8.93,13.5,51.01628,2.582323
